verb_main_semantic_class,verb_veridical_positive,verb_veridical_negative,verb_tense,semantic_relation
mówienia,o,?,brak,N
epistemiczny,?,?,past,?
mówienia,?,?,past,N
epistemiczny,+,+,past,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,past,E
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,past,N
epistemiczny,o,o,present,N
epistemiczny,o,o,past,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,?
epistemiczny,o,o,present,N
epistemiczny,o,o,past,E
?,+,+,past,E
mówienia,o,o,past,N
mówienia,o,o,past,N
mówienia,o,o,past,N
?,o,o,present,N
?,o,o,past,N
?,o,o,past,N
?,o,o,present,N
?,o,o,present,N
?,o,o,present,N
?,o,o,present,N
?,o,o,present,N
?,o,o,past,?
?,o,o,present,N
?,o,o,present,N
epistemiczny,o,+,brak,E
epistemiczny,o,+,brak,E
epistemiczny,o,+,present,E
epistemiczny,o,+,brak,E
?,+,+,future,?
?,+,+,present,E
epistemiczny,o,o,future,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,past,N
epistemiczny,o,o,present,N
epistemiczny,o,o,past,N
epistemiczny,o,o,past,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,past,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,past,?
epistemiczny,o,o,past,?
epistemiczny,o,o,present,N
epistemiczny,o,o,past,N
epistemiczny,o,o,present,N
epistemiczny,o,o,past,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,past,?
epistemiczny,+,+,past,E
?,+,+,present,E
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
epistemiczny,o,o,present,N
mówienia,o,o,past,N
?,+,-,present,E
?,+,-,present,E
?,+,-,present,E
?,+,-,present,E
?,+,-,present,E
?,+,-,present,E
?,+,-,present,E
?,+,-,present,E
?,+,-,present,E
?,+,-,past,E
?,+,-,past,E
?,+,-,past,E
?,+,-,past,E
?,+,-,present,E
mówienia,o,o,present,E
?,+,+,present,E
?,+,+,present,E
?,+,+,present,E
?,+,+,present,E
?,+,+,present,E
?,+,+,past,E
?,+,+,present,E
?,+,+,present,E
?,+,+,past,?
?,+,+,past,E
?,+,+,present,E
?,+,+,present,E
?,+,+,present,E
?,+,+,present,E
?,+,+,present,E
?,+,+,present,E
?,+,+,present,E
?,+,+,present,E
?,+,+,present,E
?,+,+,present,E
?,+,+,present,E
?,+,+,present,E
mówienia,o,o,present,E
?,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,past,N
mówienia,o,o,present,N
?,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,present,N
mówienia,+,+,past,E
?,+,+,past,E
?,o,o,present,?
?,o,o,present,N
mówienia,o,o,past,N
mówienia,o,o,past,N
mówienia,o,o,past,N
mówienia,o,o,past,N
mówienia,o,o,past,N
?,+,+,past,E
mówienia,o,o,past,N
mówienia,o,o,present,N
?,o,o,present,E
?,o,o,past,E
?,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,present,N
?,+,o,present,E
mówienia,o,o,past,N
mówienia,o,o,past,N
mówienia,o,o,past,N
mówienia,o,o,past,N
mówienia,o,o,future,N
mówienia,o,o,present,N
mówienia,o,o,brak,N
mówienia,o,o,brak,N
mówienia,o,o,brak,N
mówienia,o,o,brak,N
mówienia,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,present,E
mówienia,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,present,N
mówienia,o,o,past,N
mówienia,o,o,present,N
mówienia,o,o,present,N
?,+,-,past,E
epistemiczny,o,?,present,N
epistemiczny,o,?,past,N
epistemiczny,o,?,present,N
epistemiczny,o,?,present,N
epistemiczny,o,?,present,N
epistemiczny,o,?,present,N
epistemiczny,+,+,present,E
epistemiczny,+,+,past,E
epistemiczny,+,+,past,E
epistemiczny,+,+,past,E
epistemiczny,+,+,past,E
epistemiczny,+,+,present,?
mówienia,o,o,future,N
?,+,o,future,N
?,+,o,future,N
?,+,o,past,E
?,+,+,past,E
epistemiczny,+,+,present,E
epistemiczny,+,o,past,?
epistemiczny,+,+,past,E
epistemiczny,+,+,past,E
epistemiczny,+,+,past,E
epistemiczny,+,+,past,?
epistemiczny,+,o,past,E
epistemiczny,+,+,past,E
epistemiczny,+,+,past,E
epistemiczny,+,+,past,E
epistemiczny,+,+,past,E
epistemiczny,+,+,past,E
epistemiczny,+,+,future,E
epistemiczny,+,+,past,E
epistemiczny,+,+,past,E
epistemiczny,+,+,past,?
epistemiczny,+,+,past,E
epistemiczny,+,+,past,?
epistemiczny,+,+,past,?
epistemiczny,+,+,future,?
?,+,o,past,E
?,+,o,past,E
